0007106823	A1UPBP7ED9DTTY->5.0;
006000486X	A1C9QFE7N8YCF4->5.0;A1BXZTM5IFHODP->3.0;ANQHSC4OSF4SA->4.0;A1DJMMJ4OQ2712->2.0;A1QY2X792MF802->3.0;A3FTN134G68ZJ4->3.0;A1NZ6D6SD7B1AP->4.0;A148K8LOPWE6RK->5.0;A2VCGJLKGK2WJJ->5.0;unknown->5.0;AVWFMN5CELC8Q->4.0;A37XYM3KSEIDLS->5.0;A1IQK80SXVPAWW->5.0;A1PI0GN5N7M3GF->5.0;A1H72DULSEGDX7->5.0;A1PQJ6IPEQB3CD->5.0;A3MOFUL6BIMK5A->4.0;
0195178548	A1MEHQSDHEI882->5.0;A3A91IVPF679N3->5.0;A3T0VJ2HGJUYNU->5.0;
0253338352	AN9WUW5BG7M39->5.0;
0312322291	unknown->5.0;A1ZK6WP2JCRTI7->5.0;AZCVV9J6ZAM09->5.0;A3CG69ANXE6ZE3->4.0;A2B8Q0B7AFTHBS->4.0;A2KMJKALFVWYP->5.0;A23PU45T292ID->4.0;unknown->5.0;unknown->3.0;A1C2IN2HR2TBX4->5.0;unknown->5.0;unknown->4.0;unknown->5.0;unknown->5.0;unknown->4.0;
037316677X	A1BU2T3GNL7AU6->5.0;unknown->5.0;
0373271816	A1TCDS9S2NIVPB->4.0;
0471192627	A1E8JE7ZU91ZS5->4.0;unknown->5.0;A18TBJTWXAFKBN->3.0;unknown->4.0;unknown->4.0;A198WF1N6ND3JL->5.0;
0517150328	AMEHDG78V4JHF->4.0;A1JMVY61COJKWY->2.0;A18YH0DR1GFOGW->4.0;AMKC1EJBUXDS2->5.0;AMKC1EJBUXDS2->5.0;A37QRFQTGTJH7K->4.0;
0553763121	A3TQFPF0QGVSJV->5.0;
0567087786	A1KM9L3MAZ4RBF->5.0;
0595344550	A1KAKU5SCNNEZM->5.0;A3VSJF0K4H28XK->4.0;A1XNI3654I4ME2->1.0;A3T591DTKPYCVW->1.0;A3OZDTEEAF8GS9->1.0;A9L6GHJC42RRC->1.0;A16FTKP8BXKGHG->5.0;A1N38F1DJ9H2KM->5.0;A3V4NY81KXZAUL->4.0;A29I6N5F8P386Y->5.0;A3Q12RK71N74LB->1.0;A1E9M6APK30ZAU->4.0;AUR0VA5H0C66C->1.0;A1YLDZ3VHR6QPZ->5.0;ACO23CG8K8T77->5.0;A1VK81CRRC7MLM->5.0;A2GKUH6OBW7POH->5.0;A2BAF61XBWSLH->5.0;A6OQ83FD8E2OC->5.0;AVRN9E6X9I6KF->5.0;A2YWUISTJ728T5->5.0;ASEIU33YVKKWW->5.0;AJV5HX8BBZKEP->4.0;A1P2KGE2Z8RTA->1.0;AE5JROER4ERSO->5.0;A38P0UQN2C364Y->5.0;A1EONVY639PQDY->5.0;A2XXVRH6VJ8S7Q->5.0;A3OS2QHEH495TD->1.0;A3S5YQQWBO0LGI->1.0;A3U1XS6XK6YUU4->5.0;A2ABV8FXF88O9P->4.0;
0754803325	A15FZ94Z52LNV0->5.0;
076192177X	A2T39WC4SVQ3NQ->4.0;
0781810698	AUKYGE27CT59N->4.0;A1HHC466MCO9QE->5.0;A15PHIKUFT0A7U->4.0;A2PDAKPEZ49HBK->2.0;A1F0EV2MBF208I->4.0;
0789480662	A2L5JTFZ5CNRC7->3.0;A3MUP153I830YU->4.0;A1AHXT6CL8CWTO->5.0;AHJXYX11E860Q->2.0;A35Z7FIHBSCHKR->4.0;unknown->5.0;A1FPFWDC1ASYNJ->5.0;A281NPSIMI1C2R->5.0;A2TAPL67U2A5HM->5.0;AT9YSY20RJUDX->4.0;A1ES0C91DRT7UT->3.0;A2NUTTJR8YPPJD->3.0;unknown->5.0;A13HDF4J03LQ81->4.0;A2KI2GU89VBXKG->3.0;A3CP1WGNTOSKDA->5.0;A2HKR9DAC138DZ->5.0;A12OXTS9Z6X88T->5.0;A1CEJFXSJYQBTX->5.0;AE3CD058AQSN6->1.0;unknown->5.0;A24RO2N23PZHDK->5.0;A24WCYQRFCXS7C->4.0;AMV18MAQ2VXNF->5.0;A2GA412HQHN8WV->5.0;A3GK6SRWIPR6J8->5.0;A17MDEMPSPTH3Q->5.0;
0791054608	A2E3F04ZK7FG66->5.0;A3778VKGYVZ76Q->5.0;unknown->5.0;
0792391810	unknown->4.0;A29Z0B2L367ZO->5.0;A1CHPTJILEAL74->5.0;A30DX2BO4Y4NLU->3.0;unknown->5.0;
